4.0 , 292 , Ghenet Brooklyn , African
4.0 , 326 , Ponty Bistro , African
4.0 , 41 , B&B African-American , African
3.5 , 459 , Madiba Restaurant , African
3.5 , 324 , Braai , African
3.5 , 296 , Nomad , African
4.0 , 91 , Cafe Rue Dix , African
3.5 , 96 , Joloff Restaurant , African
4.0 , 46 , Keur Sokhna Restaurant , African
4.0 , 12 , Abidjan , African
4.0 , 127 , Massawa , African
3.5 , 69 , Africa Kine Restaurant , African
3.0 , 284 , Xai Xai South African Wine Bar , African
4.0 , 12 , La Savane , African
4.5 , 13 , Ebe Ye Yie , African
4.0 , 313 , Mesob Ethiopian Restaurant , African
4.5 , 13 , B & D Halal Restaurant , African
5.0 , 11 , Le Marecage , African
3.5 , 77 , Buka New York , African
4.5 , 9 , Farafina Cafe & Lounge Harlem , African
4.0 , 292 , Ghenet Brooklyn ,  American
4.0 , 326 , Ponty Bistro ,  American
4.0 , 41 , B&B African-American ,  American
3.5 , 459 , Madiba Restaurant ,  American
3.5 , 324 , Braai ,  American
3.5 , 296 , Nomad ,  American
4.0 , 91 , Cafe Rue Dix ,  American
3.5 , 96 , Joloff Restaurant ,  American
4.0 , 46 , Keur Sokhna Restaurant ,  American
4.0 , 12 , Abidjan ,  American
4.0 , 127 , Massawa ,  American
3.5 , 69 , Africa Kine Restaurant ,  American
3.0 , 284 , Xai Xai South African Wine Bar ,  American
4.0 , 12 , La Savane ,  American
4.5 , 13 , Ebe Ye Yie ,  American
4.0 , 313 , Mesob Ethiopian Restaurant ,  American
4.5 , 13 , B & D Halal Restaurant ,  American
5.0 , 11 , Le Marecage ,  American
3.5 , 77 , Buka New York ,  American
4.5 , 9 , Farafina Cafe & Lounge Harlem ,  American
4.0 , 870 , The Little Owl ,  American
4.5 , 1542 , Gramercy Tavern ,  American
4.5 , 121 , Bondurants ,  American
4.0 , 529 , Westville ,  American
4.5 , 76 , The Eddy ,  American
4.5 , 96 , The Heath ,  American
4.0 , 427 , Brindle Room ,  American
4.0 , 237 , Distilled ,  American
4.0 , 687 , Westville ,  American
4.5 , 175 , Lot 2 ,  American
4.0 , 550 , Market Table ,  American
4.0 , 1098 , Perilla ,  American
4.0 , 510 , Marc Forgione ,  American
4.0 , 150 , Ichabod's ,  American
4.0 , 136 , Parker & Quinn ,  American
4.5 , 909 , Gotham Bar And Grill ,  American
4.0 , 724 , Salt & Fat ,  American
4.5 , 195 , Battersby ,  American
4.0 , 122 , B4 ,  American
4.0 , 1107 , Freemans ,  American
4.0 , 292 , Ghenet Brooklyn ,  Argentinian
4.0 , 326 , Ponty Bistro ,  Argentinian
4.0 , 41 , B&B African-American ,  Argentinian
3.5 , 459 , Madiba Restaurant ,  Argentinian
3.5 , 324 , Braai ,  Argentinian
3.5 , 296 , Nomad ,  Argentinian
4.0 , 91 , Cafe Rue Dix ,  Argentinian
3.5 , 96 , Joloff Restaurant ,  Argentinian
4.0 , 46 , Keur Sokhna Restaurant ,  Argentinian
4.0 , 12 , Abidjan ,  Argentinian
4.0 , 127 , Massawa ,  Argentinian
3.5 , 69 , Africa Kine Restaurant ,  Argentinian
3.0 , 284 , Xai Xai South African Wine Bar ,  Argentinian
4.0 , 12 , La Savane ,  Argentinian
4.5 , 13 , Ebe Ye Yie ,  Argentinian
4.0 , 313 , Mesob Ethiopian Restaurant ,  Argentinian
4.5 , 13 , B & D Halal Restaurant ,  Argentinian
5.0 , 11 , Le Marecage ,  Argentinian
3.5 , 77 , Buka New York ,  Argentinian
4.5 , 9 , Farafina Cafe & Lounge Harlem ,  Argentinian
